id,name,artist,album,release_date,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
7CpbhqKUedOIrcvc94p60Y,Bodies,Drowning Pool,Sinner,2001-01-01,,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,201960,4,75
5cLttQXyVI07tUKCN8T4OD,Chi,Korn,Life Is Peachy,1996-10-15,,0.543,0.829,11,-7.931,0,0.148,0.005,0.00186,0.181,0.521,123.998,235947,4,53
55SUneDPq3ZOrJi8sVG78G,Click Click Boom,Saliva,Moving Forward In Reverse: Greatest Hits,2010-01-01,,0.609,0.937,6,-2.912,1,0.0495,0.00324,0.000294,0.129,0.493,95.961,252933,4,1
6YU556RBcA4js0poLlP8Cu,Full Nelson,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,,0.462,0.978,11,-3.199,1,0.127,0.00731,0.0257,0.458,0.441,97.69,247360,4,59
3qCQNtggJw1gxoptMgDhyR,Snot,Snot,Get Some,1997-01-01,,0.584,0.976,1,-3.868,1,0.156,0.00432,0.0408,0.333,0.535,140.304,201933,4,55
1IJMLMoVEJZRZWWQwUT7FO,Whole,Flaw,Through The Eyes,2001-10-30,,0.412,0.817,4,-6.649,0,0.271,0.00488,0.0,0.0939,0.525,172.677,232160,4,42
5u2qiqQGUBy8fvXTvs9i2X,(sic),Slipknot,Slipknot,1999,,0.38,0.994,7,-4.638,1,0.124,0.000536,0.00128,0.0956,0.267,96.325,199881,4,64
1TEZWG1FdjzDdercCguTwj,Nookie,Limp Bizkit,Significant Other,1999,,0.573,0.93,11,-5.998,1,0.0814,0.0022,0.0716,0.718,0.283,97.574,289560,4,71
0xgsyoVvRFSYvV5cdtYhX1,A.D.I.D.A.S.,Korn,Life Is Peachy,1996-10-15,,0.334,0.898,11,-6.821,0,0.196,0.00406,0.0202,0.162,0.226,110.364,153600,4,66
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.311,213760,4,77
7ilvmUhG4jmCuJV4ZvjkKT,Surfacing,Slipknot,Slipknot,1999,,0.443,0.993,11,-4.517,0,0.101,0.000456,0.0437,0.307,0.276,106.875,218093,4,61
3ezGIgTmk2BZy9C3j0x1h9,Shoots and Ladders,Korn,Korn,1994-10-11,,0.277,0.744,0,-9.756,0,0.0868,0.00681,0.00466,0.246,0.227,93.669,322133,4,59
15DLl1r2zi07Ssq5RT1yT0,Wait and Bleed,Slipknot,Slipknot,1999,,0.382,0.996,7,-4.119,1,0.104,0.00208,0.0,0.417,0.327,93.345,147840,4,74
60x0PfzcNchIl09uQYwBmJ,Murder Is Masturbation,Nothingface,Skeletons,2003-01-01,,0.571,0.902,5,-3.48,1,0.0881,0.000184,0.000146,0.126,0.199,140.986,235440,4,18
6holGuk1jKHTdWyWBOZi8l,My Generation,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,2000-10-17,,0.458,0.978,11,-2.389,1,0.192,0.00231,2.11e-06,0.111,0.341,104.013,221000,4,70
0O7lENhqOySbsL743G7PqD,"Vermilion, Pt. 2",Slipknot,Vol. 3: The Subliminal Verses,2004,,0.589,0.442,4,-8.517,1,0.0291,0.334,0.000424,0.0987,0.0904,122.688,224320,3,66
3tSmXSxaAnU1EPGKa6NytH,In the End,Linkin Park,Hybrid Theory,2000,,0.555,0.844,3,-6.567,0,0.0554,0.00834,0.0,0.0895,0.464,105.195,216800,4,64
2HjgCn2M3oMHHOIBI8FWmS,Always,Saliva,Back Into Your System (Explicit Version),2002-11-04,,0.363,0.916,1,-4.344,1,0.0634,0.00944,0.0,0.174,0.38,182.131,231200,4,0
